Name,ESI
Kepler-79 e,0.173405543
Kepler-8 b,0.012718386
Kepler-82 b,0.169650085
Kepler-82 c,0.134287662
Kepler-86 b,0.149210547
Kepler-87 b,0.080484969
Kepler-87 c,0.081477713
Kepler-89 b,0.120033578
Kepler-89 c,0.095831857
Kepler-89 d,0.044483074
Kepler-89 e,0.108202357
Kepler-9 d,0.106651899
Kepler-91 b,0.012279053
Kepler-93 b,0.23866566
L 168-9 b,0.28110678
L 98-59 b,0.43116033
L 98-59 c,0.504494573
L 98-59 d,0.558736443
LHS 1140 b,0.5835156
LHS 1478 b,0.46299445
LHS 1815 b,0.30979637
LHS 475 b,0.551477786
LP 714-47 b,0.154508715
LP 890-9 b,0.310975504
LP 890-9 c,0.27343679
LTT 1445A b,0.598392407
LTT 1445A c,0.590196638
LTT 3780 b,0.29045025
LTT 3780 c,0.548512153
LTT 9779 b,0.046745527
MASCARA-2 b/KELT-20 b,0.011164841
MASCARA-3 b,0.038368096
NGTS-1 b,0.037930813
NGTS-10 b,0.036584565
NGTS-11 b,0.118701846
NGTS-12 b,0.020758954
NGTS-13 b,0.039186902
NGTS-14A b,0.083624306
NGTS-15 b,0.035349968
NGTS-16 b,0.023869308
NGTS-17 b,0.021619634
NGTS-18 b,0.018707438
NGTS-2 b,0.011770495
NGTS-20 b,0.097399133
NGTS-21 b,0.031153938
NGTS-23 b,0.021159324
NGTS-24 b,0.018663693
NGTS-25 b,0.039753403
NGTS-4 b,0.095268495
NGTS-5 b,0.025056481
NGTS-8 b,0.032435956
NGTS-9 b,0.043340591
Qatar-10 b,0.0099249
Qatar-2 b,0.03541631
Qatar-3 b,0.03829458
Qatar-4 b,0.026850234
Qatar-5 b,0.04629357
Qatar-6 A b,0.041652881
Qatar-7 b,0.011193829
Qatar-8 b,0.014981768
Qatar-9 b,0.048936734
RIK 72 b,0.008648253
TIC 237913194 b,0.056836571
TOI-1062 b,0.202165813
TOI-1064 b,0.2565915
TOI-1064 c,0.176885849
TOI-1075 b,0.143838238
TOI-1107 b,0.027148847
TOI-1130 c,0.040048126
TOI-1201 b,0.258507656
TOI-122 b,0.376432896
TOI-1221 b,0.056200403
TOI-1231 b,0.354920397
TOI-1235 b,0.308463869
TOI-1238 b,0.192888247
TOI-1238 c,0.330557278
TOI-125 b,0.163504219
TOI-125 c,0.182874596
TOI-125 d,0.268654428
TOI-1259A b,0.03995288
TOI-1260 b,0.226485435
TOI-1260 c,0.283179311
TOI-1260 d,0.296559418
TOI-1266 b,0.463421596
TOI-1266 c,0.58331264
TOI-1272 b,0.126637023
TOI-1288 b,0.007637208
TOI-1298 b,0.035151321
TOI-132 b,0.108524754
TOI-1333 b,0.022344423
TOI-1338 b,0.069480931
TOI-1411 b,0.244991323
TOI-1422 b,0.106120001
TOI-1430 b,0.276118803
TOI-1431 b/MASCARA-5 b,0.014099943
TOI-1442 b,0.279977598
TOI-1452 b,0.753301497
TOI-1468 b,0.366843956
TOI-1468 c,0.611913093
TOI-1478 b,0.050333262
TOI-150 b,0.033698295
TOI-1518 b,0.006548405
TOI-157 b,0.021570638
TOI-1601 b,0.021145761
TOI-163 b,0.015627434
TOI-1634 b,0.269029111
TOI-1670 b,0.1796061
TOI-1670 c,0.069460146
TOI-1683 b,0.221346407
TOI-1685 b,0.229862417
TOI-169 b,0.02315002
TOI-1693 b,0.36766457
TOI-1695 b,0.406451537
TOI-1696 b,0.26890985
TOI-172 b,0.056081903
TOI-1728 b,0.119239821
TOI-1749 b,0.135305096
TOI-1749 c,0.228168382
TOI-1749 d,0.278979645
TOI-1759 b,0.287645742
TOI-178 b,0.292434078
TOI-178 c,0.292412814
TOI-178 d,0.185302596
TOI-178 e,0.2958282
TOI-178 f,0.390006827
TOI-178 g,0.24362028
TOI-1789 b,0.011824791
TOI-179 b,0.197112414
TOI-1807 b,0.179318588
TOI-181 b,0.069668413
TOI-1811 b,0.055767443
TOI-1820 b,0.04332652
TOI-1860 b,0.139331872
TOI-1899 b,0.066678729
TOI-1937 b,0.019667275
TOI-2000 b,0.117242345
TOI-2000 c,0.057389284
TOI-201 b,0.052346495
TOI-2025 b,0.055953512
TOI-206 b,0.318341921
TOI-2081 b,0.431298625
TOI-2136 b,0.506312157
TOI-2145 b,0.045740139
TOI-2152 b,0.02519637
TOI-2154 b,0.01551221
TOI-2158 b,0.044733507
TOI-216 b,0.056004394
TOI-216 c,0.103414014
TOI-2180 b,0.188681084
TOI-2193 b,0.009380566
TOI-2196 b,0.076637699
TOI-220 b,0.204261989
TOI-2207 b,0.036003454
TOI-2236 b,0.022440808
TOI-2257 b,0.562169907
TOI-2260 b,0.083158186
TOI-2285 b,0.427848123
TOI-2364 b,0.045730183
TOI-237 b,0.733660658
TOI-2406 b,0.328742261
TOI-2411 b,0.180224717
TOI-2421 b,0.025594938
TOI-2427 b,0.208341262
TOI-2445 b,0.276833524
TOI-2497 b,0.041656653
